Zip_Code,County,,
17049,Juniata,,
17050,Cumberland,,
17051,Mifflin,,
17052,Huntingdon,,
17053,Perry,,
17054,Mifflin,,
17055,Cumberland,,
17056,Juniata,,
17057,Dauphin,,
17058,Juniata,,
17059,Juniata,,
17060,Huntingdon,,
17061,Dauphin,,
17062,Perry,,
17063,Mifflin,,
17064,Lebanon,,
17065,Cumberland,,
17066,Huntingdon,,
17067,Lebanon,,
17068,Perry,,
17069,Perry,,
17070,Cumberland,,
17071,Perry,,
17072,Cumberland,,
17073,Lebanon,,
17074,Perry,,
17075,Mifflin,,
17076,Juniata,,
17077,Lebanon,,
17078,Lebanon,,
17080,Dauphin,,
17081,Cumberland,,
17082,Juniata,,
17083,Lebanon,,
17084,Mifflin,,
17085,Lebanon,,
17086,Juniata,,
17087,Lebanon,,
17088,Lebanon,,
17089,Cumberland,,
17090,Perry,,
17091,Lebanon,,
17093,Cumberland,,
17094,Juniata,,
17097,Dauphin,,
17098,Dauphin,,
17099,Mifflin,,
17101,Dauphin,,
17102,Dauphin,,
17103,Dauphin,,
17104,Dauphin,,
17105,Dauphin,,
17106,Dauphin,,
17107,Dauphin,,
17108,Dauphin,,
17109,Dauphin,,
17110,Dauphin,,
17111,Dauphin,,
17112,Dauphin,,
17113,Dauphin,,
17120,Dauphin,,
17121,Dauphin,,
17122,Dauphin,,
17123,Dauphin,,
17124,Dauphin,,
17125,Dauphin,,
17126,Dauphin,,
17127,Dauphin,,
17128,Dauphin,,
17129,Dauphin,,
17130,Dauphin,,
17140,Dauphin,,
17177,Dauphin,,
17201,Franklin,,
17210,Franklin,,
17211,Bedford,,
17212,Fulton,,
17213,Huntingdon,,
17214,Franklin,,
17215,Fulton,,
17217,Franklin,,
17219,Franklin,,
17220,Franklin,,
17221,Franklin,,
17222,Franklin,,
17223,Fulton,,
17224,Franklin,,
17225,Franklin,,
17228,Fulton,,
17229,Fulton,,
17231,Franklin,,
17232,Franklin,,
17233,Fulton,,
17235,Franklin,,
17236,Franklin,,
17237,Franklin,,
17238,Fulton,,
17239,Huntingdon,,
17240,Cumberland,,
17241,Cumberland,,
17243,Huntingdon,,
17244,Franklin,,
17246,Franklin,,
17247,Franklin,,
17249,Huntingdon,,
17250,Franklin,,
17251,Franklin,,
17252,Franklin,,
17253,Huntingdon,,
17254,Franklin,,
17255,Huntingdon,,
17256,Franklin,,
17257,Cumberland,,
17260,Huntingdon,,
17261,Franklin,,
17262,Franklin,,
17263,Franklin,,
17264,Huntingdon,,
17265,Franklin,,
17266,Cumberland,,
17267,Fulton,,
17268,Franklin,,
17270,Franklin,,
17271,Franklin,,
17272,Franklin,,
17301,Adams,,
17302,York,,
17303,Adams,,
17304,Adams,,
17306,Adams,,
17307,Adams,,
17309,York,,
17310,Adams,,
17311,York,,
17312,York,,
17313,York,,
17314,York,,
17315,York,,
17316,Adams,,
17317,York,,
17318,York,,
17319,York,,
17320,Adams,,
17321,York,,
17322,York,,
17323,York,,
17324,Adams,,
17325,Adams,,
17326,Adams,,
17327,York,,
17329,York,,
17331,York,,
17332,York,,
17333,York,,
17334,York,,
17337,Adams,,
17339,York,,
17340,Adams,,
17342,York,,
17343,Adams,,
17344,Adams,,
17345,York,,
17347,York,,
17349,York,,
17350,Adams,,
17352,York,,
17353,Adams,,
17354,York,,
17355,York,,
17356,York,,
17358,York,,
17360,York,,
17361,York,,
17362,York,,
17363,York,,
17364,York,,
17365,York,,
17366,York,,
17368,York,,
17370,York,,
17371,York,,
17372,Adams,,
17375,Adams,,
17401,York,,
17402,York,,
17403,York,,
17404,York,,
17405,York,,
17406,York,,
17407,York,,
17408,York,,
17415,York,,
17501,Lancaster,,
17502,Lancaster,,
17503,Lancaster,,
17504,Lancaster,,
17505,Lancaster,,
17506,Lancaster,,
17507,Lancaster,,
17508,Lancaster,,
17509,Lancaster,,
17512,Lancaster,,
17516,Lancaster,,
17517,Lancaster,,
17518,Lancaster,,
17519,Lancaster,,
17520,Lancaster,,
17521,Lancaster,,
17522,Lancaster,,
17527,Lancaster,,
17528,Lancaster,,
17529,Lancaster,,
17532,Lancaster,,
17533,Lancaster,,
17534,Lancaster,,
17535,Lancaster,,
17536,Lancaster,,
17537,Lancaster,,
17538,Lancaster,,
17540,Lancaster,,
17543,Lancaster,,
17545,Lancaster,,
17547,Lancaster,,
17549,Lancaster,,
17550,Lancaster,,
17551,Lancaster,,
17552,Lancaster,,
17554,Lancaster,,
17555,Lancaster,,
17557,Lancaster,,
17560,Lancaster,,
17562,Lancaster,,
17563,Lancaster,,
17564,Lancaster,,
17565,Lancaster,,
17566,Lancaster,,
17567,Lancaster,,
17568,Lancaster,,
17569,Lancaster,,
17570,Lancaster,,
17572,Lancaster,,
17573,Lancaster,,
17575,Lancaster,,
17576,Lancaster,,
17578,Lancaster,,
17579,Lancaster,,
17580,Lancaster,,
17581,Lancaster,,
17582,Lancaster,,
17583,Lancaster,,
17584,Lancaster,,
17585,Lancaster,,
17601,Lancaster,,
17602,Lancaster,,
17603,Lancaster,,
17604,Lancaster,,
17605,Lancaster,,
17606,Lancaster,,
17607,Lancaster,,
17608,Lancaster,,
17611,Lancaster,,
17699,Lancaster,,
17701,Lycoming,,
17702,Lycoming,,
17703,Lycoming,,
17705,Lycoming,,
17720,Lycoming,,
17721,Clinton,,
17723,Lycoming,,
17724,Bradford,,
17726,Clinton,,
17727,Lycoming,,
17728,Lycoming,,
17729,Potter,,
17730,Northumberland,,
17731,Sullivan,,
17735,Bradford,,
17737,Lycoming,,
17738,Clinton,,
17739,Lycoming,,
17740,Lycoming,,
17742,Lycoming,,
17744,Lycoming,,
